Designator,Mid X,Mid Y,Rotation,Layer
C10,149.0,-94.8,180.0,top
C11,154.2,-97.8,0.0,top
C12,147.6,-92.4,270.0,top
C13,149.1,-92.4,270.0,top
C14,160.485266,-97.2,270.0,top
C15,152.0,-97.1,90.0,top
C16,161.985266,-97.2,270.0,top
C17,145.7,-97.5,0.0,top
C18,140.1,-89.0,90.0,top
C19,143.0,-89.5,90.0,top
C2,150.6,-92.4,270.0,top
C20,134.0,-93.45,270.0,top
C21,142.7,-97.5,0.0,top
C23,146.0,-94.8,180.0,top
C24,137.1,-89.0,270.0,top
C3,163.0,-91.05,0.0,top
C5,153.035266,-89.0,270.0,top
C6,147.235266,-89.1,270.0,top
C7,166.1,-88.6,270.0,top
C8,159.385266,-88.0,0.0,top
C9,161.6,-88.625,90.0,top
D1,171.2,-93.0,90.0,top
D2,137.1,-93.0,270.0,top
F1,134.6,-88.5,180.0,top
FID1,172.3,-97.4,0.0,top
FID2,124.8,-88.9,0.0,top
FID3,124.8,-88.9,0.0,bottom
FID4,172.3,-97.5,0.0,bottom
J2,136.85,-93.0,0.0,bottom
J3,160.0,-93.0,180.0,bottom
L1,163.85,-89.4,180.0,top
L2,145.1,-89.6,270.0,top
R1,169.85,-89.4,0.0,top
R2,171.9,-95.296015,180.0,top
R4,141.6,-89.5,270.0,top
R5,137.1,-97.025,270.0,top
R6,138.6,-97.025,270.0,top
R7,138.6,-89.0,90.0,top
R8,135.6,-91.0,270.0,top
SW1,139.5,-93.0,180.0,top
U1,156.885266,-93.0,45.0,top
U2,131.1,-93.0,0.0,top
U3,142.9,-93.0,270.0,top
U4,145.7,-92.8,270.0,top
Y1,150.135266,-89.05,180.0,top
Y2,149.2,-97.0,180.0,top
